순번,구분,기관명,전화번호,팩스번호,주소,홈페이지
1,공립,조치원대동초등학교,044-861-4601,044-867-3423,세종특별자치시 조치원읍 대동학교길 11,http://jdd.sjedues.kr/
2,공립,조치원명동초등학교,044-865-5781,044-866-9990,세종특별자치시 조치원읍 조치원10길 35,http://jmd.sjedues.kr
3,공립,조치원교동초등학교,044-863-6472,044-863-6473,세종특별자치시 조치원읍 새내18길 21,http://jk.sjedues.kr
4,공립,조치원신봉초등학교,044-862-1403,044-866-9991,세종특별자치시 조치원읍 서북부로 10,http://jcwsb.sjedues.kr
5,공립,연동초등학교,044-864-9300,044-866-9992,세종특별자치시 연동면 청연로 606-36,http://yd.sjedues.kr
6,공립,세종도원초등학교,044-868-7211,044-868-7259,세종특별자치시 연서면 도원로 63,http://ygdowon.sjedues.kr
7,공립,연서초등학교,044-867-7033,044-867-7134,세종특별자치시 연서면 연서로 148,http://yeonsoe.sjedues.kr
8,공립,쌍류초등학교,044-863-1929,044-863-5711,세종특별자치시 연서면 벌말길 73,http://ssr.sjedues.kr
9,공립,연봉초등학교,044-867-6004,044-867-5712,세종특별자치시 연서면 당산로 357-1,http://yeonbong.sjedues.kr/
10,공립,연남초등학교,044-863-4500,044-863-5717,세종특별자치시 연기면 연기길 2,http://yeonnam.sjedues.kr
11,공립,수왕초등학교,044-863-4101,044-863-6551,세종특별자치시 연기면 눌왕길 8-45,http://suwang.sjedues.kr
12,공립,금남초등학교,044-866-7052,044-866-5935,세종특별자치시 금남면 금남구즉로 62,http://kumnam.sjedues.kr
13,공립,감성초등학교,044-866-7058,044-866-5934,세종특별자치시 금남면 감성길 6,http://gamsung.sjedues.kr/
14,공립,전의초등학교,044-863-1451,044-863-6552,세종특별자치시 전의면 운주산로 1204-9,http://jeonui.sjedues.kr
15,공립,소정초등학교,044-566-6060,044-566-6465,세종특별자치시 소정면 학교말길 10,http://sojeong.sjedues.kr
16,공립,전동초등학교,044-863-1208,044-863-5716,세종특별자치시 전동면 하노장3길 9,http://jeondong.sjedues.kr
17,공립,참샘초등학교,044-868-3781,044-868-8659,세종특별자치시 노을1로 29,http://charmsaem.sjedues.kr
18,공립,부강초등학교,044-868-9264,044-868-9268,세종특별자치시 부강면 부강로 15,http://bugang.sjedues.kr
19,공립,장기초등학교,044-857-4066,044-857-1007,세종특별자치시 장군면 장척로 398-9,http://janggi.sjedues.kr
20,공립,의랑초등학교,044-852-6871,044-855-0788,세종특별자치시 장군면 태산길 50-1,http://uirang.sjedues.kr
21,공립,한솔초등학교,044-410-4301,044-410-4383,세종특별자치시 누리로 32,http://sjhansol.sjedues.kr
22,공립,도담초등학교,044-410-0106,044-410-0185,세종특별자치시 보람로 33,http://dodam.sjedues.kr/
23,공립,연세초등학교,044-860-6572,044-865-1801,세종특별자치시 다솜로 291,http://yeonse.sjedues.kr
24,공립,미르초등학교,044-998-2702,044-998-1982,세종특별자치시 나리로 26-16,http://mir.sjedues.kr
25,공립,아름초등학교,044-998-1843,044-998-1846,세종특별자치시 달빛1로 174,http://areum.sjedues.kr
26,공립,연양초등학교,044-998-4201,044-998-4218,세종특별자치시 도움3로 37,http://sjyy.sjedues.kr
27,공립,나래초등학교,044-902-8202,044-867-8604,세종특별자치시 달빛1로 108,http://narae.sjedues.kr
28,공립,양지초등학교,044-867-9052,044-866-1843,세종특별자치시 보듬8로 11,http://yangji.sjedues.kr
29,공립,고운초등학교,044-903-4305,044-903-4310,세종특별자치시 만남로 45,http://gowoon.sjedues.kr
30,공립,두루초등학교,044-903-2703,044-903-2777,세종특별자치시 만남로 227,http://duru.sjedues.kr
31,공립,온빛초등학교,044-903-3702,044-903-3774,세종특별자치시 만남로 174,http://onbit.sjedues.kr
32,공립,으뜸초등학교,044-903-2502,044-903-2560,세종특별자치시 마음로 132,http://euddeum.sjedues.kr
33,공립,다빛초등학교,044-903-3507,044-903-3575,세종특별자치시 달빛1로 7,http://dabit.sjedues.kr
34,공립,종촌초등학교,044-903-3602,044-903-3619,세종특별자치시 도움1로 160,http://jongchon.sjedues.kr
35,공립,늘봄초등학교,044-903-3402,044-903-3419,세종특별자치시 다솜1로 183,http://neulbom.sjedues.kr
36,공립,가락초등학교,044-903-1205,044-903-1274,세종특별자치시 마음로 208,http://garak.sjedues.kr
37,공립,보람초등학교,044-903-0305,044-903-0377,세종특별자치시 보람동로 39,http://boram.sjedues.kr
38,공립,소담초등학교,044-861-7302,044-283-8112,세종특별자치시 소담1로 35,http://sodam.sjedues.kr
39,공립,글벗초등학교,044-999-5400,044-999-5407,세종특별자치시 소담로 121,http://geulbeot.sjedues.kr
40,공립,여울초등학교,044-999-6103,044-999-9450,세종특별자치시 남세종로 504-12,http://yeoul.sjedues.kr
41,공립,가득초등학교,044-999-7670,044-999-7608,세종특별자치시 세종로 941,http://gadeuk.sjedues.kr
42,공립,새뜸초등학교,044-999-7501,044-999-7410,세종특별자치시 새롬남로 75,http://saetteum.sjedues.kr
43,공립,새롬초등학교,044-999-5700,044-999-5610,세종특별자치시 새롬중앙1로 27,http://saerom.sjedues.kr
44,공립,다정초등학교,044-902-3902,044-902-3809,세종특별자치시 다정남로 35,http://dajeong.sjedues.kr/
45,공립,새움초등학교,044-902-3301,044-902-3209,세종특별자치시 다정남로 93,http://saeum.sjedues.kr/
46,공립,한결초등학교,044-902-3501,044-902-3409,세종특별자치시 다정북로 139,http://hangyeol.sjedues.kr
47,공립,대평초등학교,044-902-4106,044-902-4129,세종특별자치시 대평1길 19,http://daepyeong.sjedues.kr
48,공립,솔빛초등학교,044-410-2502,044-410-2580,세종특별자치시 반곡2길 21,http://solbit.sjedues.kr
